ID_HOGAR,exp_anim,own_appliances,own_tv,propiatot,propriegotot,pct_elevate,pct_private,pct_family,total_parcels,indice,parcels_notitle,parcels_unclear,parcels_unregistered,avgyears,avg_area,N_plot_own,N_no_document,N_title,tot_area,bono,hh_age,hh_head_fem,ethnic,head_casado,tot_members,tot_males,total_agriculture,hh_primary,no_hhmember,dependents,gastos,working_hours,working_days,mem_prodage,treated,areat,areas,proptrot,rentada,partir,ptrhh_ex,tpropia,tprop_ex,propia_ex,ptrhh_s1,rent_s1,partir_s1,ptrhh_s2,rent_s2,partir_s2,ptrhh_s3,propia_r,prop_rex,tpropia_r,tpropia_rex,ptrhh_r,ptrhh_rex,seedq,plantq,estq,otherpmq,seedq_p,plantq_p,estq_p,otherpmq_p,seedq_r,plantq_r,estq_r,otherpmq_r,seedq_c,plantq_c,estq_c,otherpmq_c,seedq1,plantq1,estq1,otherpmq1,seedq_d,plantq_d,estq_d,seedp,plantp,estp,pmtransc,seedtc,esttc,irrigc,ni_irrigc,lprep_cmo,plant_p,plant_cmo,pest_p,pest_cmo,harv_p,harv_cmo,labortc,lprep_h,lprep_m,lprep_n,lprep_c,lprep_p,plant_h,plant_m,plant_n,plant_c,pest_h,pest_m,pest_n,pest_c,harv_h,harv_m,harv_n,harv_c,ntjmale,ntjfem,ntjchild,ntjhh,ntjhired,ntjorn,pmtrans,aso_trans,siembra,seed,plant,est,otherpm,irrig,monoc,perntjfem,perntjchild,perntjmale,perntjhired,perareas,riego_pp,manq_p,mancost_p,fertq_p,fertcost_p,fungcost_p,inscost_p,herbcost_p,fungq_p,insq_p,riego_p,manuse_p,herbuse_p,nplants,areas_p,vharvl_p,tvharv,lprepp_hp,lprepp_mp,lprepp_np,lprepp_cp,lprepp_pp,ntjhh_p,ntjorn_p,per_pern,sh_ntjfem,sh_ntjchild,sh_ntjmale,sh_ntjhired
010152001999009011816,2,1,1,1,0,1,1,0,1,1,1,0,0,26,.132,1,1,0,.1319999992847443,0,46,0,0,0,9,6,1,0,9,8,620,64,48,5,1,1.84799998998642,.1385999992489815,0,0,0,1.84799998998642,14,1.84799998998642,1.84799998998642,0,0,0,14,0,0,0,0,0,0,0,0,0,12.27272751927376,90,0,0,10.00000017881393,0,0,0,0,0,0,0,11.36363634467125,100,0,0,21.36363652348518,100,0,0,0,-10,0,7,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,37,0,0,6,25,31,0,0,0,0,1400,0,14,20,0,6,64,88,158,1400,1558,1,2,1,1,1,0,0,0,1,.4330357,.5401786,.026785715,.89901477,.075000003,0,50,0,0,0,0,0,0,0,0,0,1,0,0,.1319999992847443,0,0,0,1,0,0,0,1,1,0,1,0,0,0
010152001999009031397,14,1,1,4,0,1,.5,.25,4,.5,2,0,0,23.5,1.132,4,2,2,4.528000116348267,0,60,1,0,0,5,0,1,0,5,4,1410,147,72,4,1,2.822400093078613,2.822400093078613,0,0,0,2.822400093078613,4,2.822400093078613,2.822400093078613,0,0,0,4,0,0,0,0,0,0,0,0,0,8.636363625526428,0,0,0,8.636363625526428,0,0,0,0,0,0,0,0,0,0,0,8.636363625526428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,4,0,0,0,0,0,400,0,5,0,0,4,17,0,21,400,421,0,0,0,1,0,0,0,0,0,.80909091,0,.19090909,.95249796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.822400093078613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010152001999009041167,0,1,1,1,0,1,1,0,1,0,0,0,0,18,.039999999,1,0,1,.0399999991059303,0,39,0,0,1,9,3,1,1,9,8,384,200,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0099999997764826,0,0,0,0,0,0,0,0,0,25,0,0,0,0
010152001999009051820,10,1,1,3,0,1,0,1,3,1,3,0,0,1,0,3,3,0,0,1,30,0,0,0,4,2,2,1,4,3,245,100,76,2,1,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8.181818246841431,100,0,0,7.727272778749466,0,0,0,0,0,0,0,.4545454680919647,100,0,0,8.181818246841431,100,0,0,0,0,0,3,8,0,5,8,5,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,11,0,0,0,0,0,1100,1,10,0,0,1,32,11,44,1100,1144,1,2,1,1,1,0,0,0,1,.72727275,.25,.022727273,.96153843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010152001999009070821,0,1,1,1,0,1,1,0,1,1,1,0,0,22,.029999999,1,1,0,.0299999993294477,0,44,0,0,0,4,1,1,0,4,3,170,60,48,2,1,.0899999979883432,.0449999989941716,0,0,0,.0899999979883432,3,.0899999979883432,.0899999979883432,0,0,0,3,0,0,0,0,0,0,0,0,0,3.181818187236786,0,0,0,3.181818187236786,0,0,0,0,0,0,0,0,0,0,0,3.181818187236786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,3,6,0,0,0,0,300,3,3,6,0,9,9,18,36,300,336,0,0,0,1,0,0,0,0,1,.25,.5,.25,.89285713,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0024999999441206,0,0,0,0,0,0,0,0,0,8,0,0,0,0
010152001999009091166,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,27,0,0,0,3,2,0,0,3,2,0,48,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010152001999009100867,0,1,1,4,0,1,.25,.75,4,1,4,0,0,18.75,.66666669,4,4,0,2,1,53,0,0,0,5,1,3,1,5,4,0,181,130,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,.949999988079071,0,0,0,0,0,0,0,0,0,70,0,0,0,0
010152001999009111807,10,1,1,4,0,1,0,1,4,.25,1,0,0,23.75,.72500002,4,1,3,2.899999990127981,1,36,0,0,1,7,4,3,1,7,6,1118,305,134,6,1,8.675999969244003,.0879000015556812,0,0,0,8.675999969244003,9,8.675999969244003,8.675999969244003,0,0,0,9,0,0,0,0,0,0,0,0,0,15.45454540848732,0,0,4,14.09090903401375,0,0,4,0,0,0,0,1.363636374473572,0,0,0,15.45454540848732,0,0,4,0,0,0,2,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,4,9,0,0,0,0,0,900,6,9,0,0,19,27,0,46,900,946,1,2,0,1,0,0,1,0,0,.6119048,0,.38809526,.95147753,.010131397,0,6.818181753158569,105,0,0,0,0,0,0,0,0,1,0,0,2.3999999538064,0,0,0,0,0,0,0,0,0,69.666664,0,0,0,0
010152001999009120150,100,1,1,3,0,1,.33333334,.66666669,3,.66666669,2,0,0,16,.47666666,3,2,1,1.430000005289912,0,57,1,0,0,8,4,1,0,8,7,5650,164,72,5,1,3,3,0,0,0,3,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0,0,0,0,30,0,0,0,0,0,2,2,0,2,0,0,0,300,3,2,0,0,5,4,0,9,302,311,0,0,0,0,0,0,1,0,0,.44444445,0,.55555558,.97297299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,.001200000042445,0,0,1,2,0,0,0,3,3,1,.75,0,.25,0
010152001999009531810,19,1,1,2,0,.66666669,.66666669,0,3,.66666669,2,0,0,12.5,.41333333,2,2,0,1.239999994635582,1,39,0,0,0,9,3,0,1,9,8,270,154,72,5,1,4,4,0,4,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,15.90909075737,0,0,0,0,0,0,0,0,0,0,0,15.90909075737,0,0,0,15.90909075737,0,0,0,0,0,0,35,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,2,0,0,0,0,0,400,0,0,0,0,5,5,0,10,400,410,1,2,0,1,0,0,0,0,0,.5,0,.5,.97727275,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.1399999968707562,0,0,1,1,0,0,0,2,2,0,.5,0,.5,0
